image_name,is_cropped,total_area,roi_area,processing_time
image.8006_with_target,False,19236,19226,-1740975887161.79
image.5538_with_target,False,19226,19218,-1740975887161.9841
image.1066_with_target,False,19365,19360,-1740975887162.1675
image.0615_with_target,False,19339,19326,-1740975887161.5298
image.3832_with_target,False,19226,19226,-1740975887161.9211
image.9170_with_target,False,19371,19366,-1740975887161.0159
image.8894_with_target,False,19360,19347,-1740975887161.935
image.7223_with_target,False,19212,19207,-1740975887161.881
image.7737_with_target,False,20902,20859,-1740975887161.829
image.8672_with_target,False,20757,20679,-1740975887161.8772
image.1925_with_target,False,19434,19429,-1740975887161.9436
image.0858_with_target,False,19670,19665,-1740975887161.209
image.8902_with_target,False,19790,19776,-1740975887161.1309
image.0711_with_target,False,19345,19340,-1740975887162.1912
image.4412_with_target,False,19246,19233,-1740975887161.5515
image.3279_with_target,False,19340,19330,-1740975887162.0967
image.9027_with_target,False,19225,19211,-1740975887161.6958
image.3543_with_target,False,19380,19372,-1740975887162.2222
image.1045_with_target,False,19323,19318,-1740975887161.5493
image.7703_with_target,False,21032,21014,-1740975887162.1567
image.0873_with_target,False,20665,20665,-1740975887161.959
image.7848_with_target,False,20689,20681,-1740975887161.284
image.5777_with_target,False,19446,19446,-1740975887161.9116
image.7489_with_target,False,19755,19732,-1740975887158.8914
image.0394_with_target,False,19348,19314,-1740975887161.7053
image.0404_with_target,False,19234,19234,-1740975887162.1226
image.8435_with_target,False,19671,19671,-1740975887161.8743
image.6237_with_target,False,19680,19600,-1740975887161.8672
image.9755_with_target,False,19314,19306,-1740975887159.3909
image.3913_with_target,False,19255,19255,-1740975887162.1638
image.5957_with_target,False,20140,20029,-1740975887161.833
image.2886_with_target,False,20649,20644,-1740975887161.9292
image.1891_with_target,False,19610,19602,-1740975887161.7544
image.3750_with_target,False,20648,20648,-1740975887161.9836
image.9776_with_target,False,20651,20646,-1740975887161.2756
image.5724_with_target,False,19277,19243,-1740975887161.9734
image.2579_with_target,False,19307,19277,-1740975887162.1216
image.4013_with_target,False,19707,19697,-1740975887162.1384
image.2444_with_target,False,20594,20551,-1740975887161.6182
image.1584_with_target,True,83,83,-1740975887162.5103
image.2375_with_target,True,1403,1403,-1740975887162.8086
image.1081_with_target,True,5,5,-1740975887162.8438
image.0401_with_target,True,590,590,-1740975887162.4392
image.4744_with_target,True,97,97,-1740975887162.8164
image.8553_with_target,True,10,10,-1740975887162.7842
image.5135_with_target,True,125,125,-1740975887162.7551
image.6567_with_target,True,28,28,-1740975887162.702
image.4031_with_target,True,540,540,-1740975887162.8281
image.0693_with_target,True,49,49,-1740975887162.6392
image.7884_with_target,True,1367,1367,-1740975887162.6836
image.3423_with_target,True,5,5,-1740975887162.8066
image.4586_with_target,True,65,65,-1740975887162.7998
image.9419_with_target,True,5,5,-1740975887162.8235
image.7031_with_target,True,5,5,-1740975887162.745
image.3402_with_target,True,5,5,-1740975887162.8196
image.8347_with_target,True,99,99,-1740975887162.6968
image.3307_with_target,True,1376,1376,-1740975887162.779
image.5821_with_target,True,5,5,-1740975887162.7227
image.0319_with_target,True,134,134,-1740975887162.3293
image.0903_with_target,True,117,117,-1740975887162.8386
image.2415_with_target,True,52,52,-1740975887162.8618
image.1747_with_target,True,1369,1369,-1740975887162.714
image.4480_with_target,True,701,701,-1740975887162.834
image.3682_with_target,True,510,510,-1740975887162.9014
image.7199_with_target,True,1448,1448,-1740975887162.8674
image.7402_with_target,True,5,5,-1740975887162.676
image.9718_with_target,True,118,118,-1740975887162.7166
image.8388_with_target,True,343,343,-1740975887162.522
image.9847_with_target,True,5,5,-1740975887162.4717
image.2274_with_target,True,36,36,-1740975887162.724
image.0418_with_target,True,26,26,-1740975887162.2476
image.6230_with_target,True,5,5,-1740975887162.7358
image.9426_with_target,True,94,94,-1740975887162.6821
image.7347_with_target,True,145,145,-1740975887162.6714
image.2619_with_target,True,1414,1414,-1740975887162.8313
image.1514_with_target,True,5,5,-1740975887162.7476
image.6575_with_target,True,39,39,-1740975887162.8347
image.9101_with_target,True,5,5,-1740975887162.8203
image.3301_with_target,True,63,63,-1740975887162.528
image.6269_with_target,True,1411,1411,-1740975887162.6719
image.0031_with_target,True,277,277,-1740975887162.6155
image.2920_with_target,True,1427,1427,-1740975887162.827
