image_name,is_cropped,total_area,roi_area,processing_time
image.8672_with_target,False,20757,20679,-1740975890595.8152
image.1925_with_target,False,19434,19429,-1740975890595.8977
image.0858_with_target,False,19670,19665,-1740975890593.0693
image.8902_with_target,False,19790,19776,-1740975890595.977
image.0711_with_target,False,19345,19340,-1740975890592.7737
image.4412_with_target,False,19246,19233,-1740975890596.0227
image.3279_with_target,False,19340,19330,-1740975890596.2224
image.9027_with_target,False,19225,19211,-1740975890596.0586
image.3543_with_target,False,19380,19372,-1740975890596.061
image.1045_with_target,False,19323,19318,-1740975890596.2053
image.7703_with_target,False,21032,21014,-1740975890596.116
image.0873_with_target,False,20665,20665,-1740975890595.8123
image.7848_with_target,False,20689,20681,-1740975890594.6501
image.5777_with_target,False,19446,19446,-1740975890596.0718
image.7489_with_target,False,19755,19732,-1740975890595.5837
image.0394_with_target,False,19348,19314,-1740975890595.7444
image.0404_with_target,False,19234,19234,-1740975890596.2224
image.8435_with_target,False,19671,19671,-1740975890595.7424
image.6237_with_target,False,19680,19600,-1740975890595.708
image.9755_with_target,False,19314,19306,-1740975890596.2048
image.3913_with_target,False,19255,19255,-1740975890595.2354
image.5957_with_target,False,20140,20029,-1740975890596.0193
image.2886_with_target,False,20649,20644,-1740975890596.176
image.1891_with_target,False,19610,19602,-1740975890595.9307
image.3750_with_target,False,20648,20648,-1740975890596.2078
image.9776_with_target,False,20651,20646,-1740975890595.9631
image.5724_with_target,False,19277,19243,-1740975890590.9297
image.2579_with_target,False,19307,19277,-1740975890595.6748
image.4013_with_target,False,19707,19697,-1740975890595.9067
image.2444_with_target,False,20594,20551,-1740975890595.824
image.1584_with_target,True,83,83,-1740975890596.755
image.2375_with_target,True,1403,1403,-1740975890596.8477
image.1081_with_target,True,5,5,-1740975890596.8389
image.0401_with_target,True,590,590,-1740975890596.8665
image.4744_with_target,True,97,97,-1740975890596.3767
image.8553_with_target,True,10,10,-1740975890596.8462
image.5135_with_target,True,125,125,-1740975890596.7676
image.6567_with_target,True,28,28,-1740975890596.7903
image.4031_with_target,True,540,540,-1740975890596.809
image.0693_with_target,True,49,49,-1740975890596.8813
image.7884_with_target,True,1367,1367,-1740975890596.918
image.3423_with_target,True,5,5,-1740975890596.796
image.4586_with_target,True,65,65,-1740975890596.8477
image.9419_with_target,True,5,5,-1740975890596.787
image.7031_with_target,True,5,5,-1740975890596.878
image.3402_with_target,True,5,5,-1740975890596.6099
image.8347_with_target,True,99,99,-1740975890596.8271
image.3307_with_target,True,1376,1376,-1740975890596.9006
image.5821_with_target,True,5,5,-1740975890596.8
image.0319_with_target,True,134,134,-1740975890596.7642
image.0903_with_target,True,117,117,-1740975890596.8916
image.2415_with_target,True,52,52,-1740975890596.1406
image.1747_with_target,True,1369,1369,-1740975890596.9087
image.4480_with_target,True,701,701,-1740975890595.6023
image.3682_with_target,True,510,510,-1740975890596.867
image.7199_with_target,True,1448,1448,-1740975890596.8787
image.7402_with_target,True,5,5,-1740975890596.8882
image.9718_with_target,True,118,118,-1740975890596.8552
image.8388_with_target,True,343,343,-1740975890596.8645
image.9847_with_target,True,5,5,-1740975890596.4739
image.2274_with_target,True,36,36,-1740975890596.742
image.0418_with_target,True,26,26,-1740975890596.7773
image.6230_with_target,True,5,5,-1740975890596.8223
image.9426_with_target,True,94,94,-1740975890596.783
image.7347_with_target,True,145,145,-1740975890596.8013
image.2619_with_target,True,1414,1414,-1740975890596.5942
image.1514_with_target,True,5,5,-1740975890596.7688
image.6575_with_target,True,39,39,-1740975890596.7605
image.9101_with_target,True,5,5,-1740975890596.6304
image.3301_with_target,True,63,63,-1740975890596.7334
image.6269_with_target,True,1411,1411,-1740975890596.5735
image.0031_with_target,True,277,277,-1740975890596.8638
image.2920_with_target,True,1427,1427,-1740975890596.801
image.4442_with_target,True,127,127,-1740975890596.8682
image.4956_with_target,True,42,42,-1740975890596.8455
image.9853_with_target,True,258,258,-1740975890596.4988
image.6108_with_target,True,5,5,-1740975890596.8496
image.8670_with_target,True,5,5,-1740975890596.803
image.8865_with_target,True,5,5,-1740975890596.8032
image.1268_with_target,True,252,252,-1740975890596.691
image.6899_with_target,True,44,44,-1740975890596.8958
image.9964_with_target,True,265,265,-1740975890596.8037
image.9013_with_target,True,1444,1444,-1740975890596.7021
image.2836_with_target,True,5,5,-1740975890596.9097
image.7879_with_target,True,510,510,-1740975890596.7388
image.5827_with_target,True,5,5,-1740975890596.9211
image.7672_with_target,True,1236,1236,-1740975890596.8171
image.8786_with_target,True,10,10,-1740975890596.957
image.8366_with_target,True,1452,1452,-1740975890596.8433
image.6531_with_target,True,5,5,-1740975890596.8086
image.1609_with_target,True,5,5,-1740975890596.7937
image.4978_with_target,True,243,243,-1740975890596.8027
image.1517_with_target,True,1350,1350,-1740975890596.8406
image.9565_with_target,True,5,5,-1740975890596.8982
image.8484_with_target,True,194,194,-1740975890596.8577
image.5396_with_target,True,1441,1441,-1740975890596.708
image.1126_with_target,True,5,5,-1740975890596.5889
image.0721_with_target,True,83,83,-1740975890596.532
image.4025_with_target,True,65,65,-1740975890596.6475
image.9812_with_target,True,5,5,-1740975890596.6536
image.6887_with_target,True,435,435,-1740975890596.6245
image.4510_with_target,True,1405,1405,-1740975890596.0234
image.9156_with_target,True,5,5,-1740975890596.68
image.3069_with_target,True,144,144,-1740975890596.8494
image.1025_with_target,True,119,119,-1740975890596.7212
image.3141_with_target,True,1377,1377,-1740975890596.874
image.9757_with_target,True,5,5,-1740975890596.8787
image.5887_with_target,True,250,250,-1740975890595.8953
image.1796_with_target,True,98,98,-1740975890596.8513
image.6682_with_target,True,109,109,-1740975890596.6565
image.4224_with_target,True,1313,1313,-1740975890596.3125
image.5255_with_target,True,390,390,-1740975890596.3003
image.5967_with_target,True,59,59,-1740975890596.8022
image.0288_with_target,True,199,199,-1740975890595.0027
image.8032_with_target,True,5,5,-1740975890596.811
image.8425_with_target,True,5,5,-1740975890596.8723
image.7074_with_target,True,110,110,-1740975890596.8354
image.4817_with_target,True,133,133,-1740975890596.5322
image.8491_with_target,True,49,49,-1740975890596.784
image.8134_with_target,True,1285,1285,-1740975890596.745
image.5256_with_target,True,1408,1408,-1740975890596.859
image.3444_with_target,True,5,5,-1740975890596.8062
image.8196_with_target,True,5,5,-1740975890596.8625
image.9962_with_target,True,1335,1335,-1740975890596.8657
image.7581_with_target,True,101,101,-1740975890596.5796
image.1601_with_target,True,35,35,-1740975890596.714
image.1537_with_target,True,1365,1365,-1740975890596.881
image.3865_with_target,True,5,5,-1740975890596.918
image.7106_with_target,True,1421,1421,-1740975890596.82
image.5623_with_target,True,1354,1354,-1740975890596.569
image.2695_with_target,True,61,61,-1740975890596.8271
image.0236_with_target,True,1356,1356,-1740975890596.8206
image.5919_with_target,True,1368,1368,-1740975890596.8044
image.7738_with_target,True,155,155,-1740975890596.8057
image.5266_with_target,True,148,148,-1740975890596.7825
image.6999_with_target,True,5,5,-1740975890596.9355
image.4676_with_target,True,1343,1343,-1740975890596.8516
image.4292_with_target,True,1384,1384,-1740975890596.9055
image.9061_with_target,True,25,25,-1740975890596.765
image.5403_with_target,True,1380,1380,-1740975890596.8484
image.1098_with_target,True,321,321,-1740975890596.8147
image.5284_with_target,True,443,443,-1740975890596.8699
image.0366_with_target,True,5,5,-1740975890596.7495
image.9614_with_target,True,5,5,-1740975890596.748
image.3090_with_target,True,1384,1384,-1740975890596.914
image.3349_with_target,True,393,393,-1740975890596.8848
image.4009_with_target,True,249,249,-1740975890596.807
image.8781_with_target,True,5,5,-1740975890596.8308
image.3278_with_target,True,5,5,-1740975890596.8525
image.0427_with_target,True,1314,1314,-1740975890596.804
image.2819_with_target,True,416,416,-1740975890596.8633
image.8957_with_target,True,5,5,-1740975890596.7917
image.1096_with_target,True,5,5,-1740975890596.5603
image.5525_with_target,True,1508,1508,-1740975890596.1226
image.2206_with_target,True,489,489,-1740975890596.448
image.5035_with_target,True,301,301,-1740975890596.8535
image.1024_with_target,True,5,5,-1740975890596.899
image.6347_with_target,True,44,44,-1740975890596.697
image.0023_with_target,True,5,5,-1740975890596.8452
image.3993_with_target,True,1607,1607,-1740975890596.3313
image.9700_with_target,True,1506,1506,-1740975890596.8538
image.8060_with_target,True,5,5,-1740975890596.672
image.3350_with_target,True,1372,1372,-1740975890596.8674
image.9142_with_target,True,426,426,-1740975890595.8987
image.0780_with_target,True,279,279,-1740975890596.7812
image.1610_with_target,True,1370,1370,-1740975890596.8699
image.2055_with_target,True,422,422,-1740975890596.8384
image.3102_with_target,True,178,178,-1740975890596.7324
image.5060_with_target,True,299,299,-1740975890596.803
image.4425_with_target,True,5,5,-1740975890596.3372
image.5981_with_target,True,242,242,-1740975890596.8335
image.3825_with_target,True,1397,1397,-1740975890596.877
image.6051_with_target,True,25,25,-1740975890596.8674
image.6565_with_target,True,128,128,-1740975890596.5696
image.8614_with_target,True,1378,1378,-1740975890596.5676
image.7728_with_target,True,96,96,-1740975890596.8433
image.3264_with_target,True,13,13,-1740975890596.8684
image.8255_with_target,True,5,5,-1740975890596.7808
image.3354_with_target,True,5,5,-1740975890596.861
image.4408_with_target,True,500,500,-1740975890596.6619
image.5958_with_target,True,194,194,-1740975890596.609
image.5755_with_target,True,5,5,-1740975890596.878
image.9096_with_target,True,161,161,-1740975890596.59
image.5068_with_target,True,1369,1369,-1740975890596.483
image.7158_with_target,True,5,5,-1740975890596.8223
image.4247_with_target,True,611,611,-1740975890595.8364
image.9169_with_target,True,146,146,-1740975890596.8882
image.4312_with_target,True,5,5,-1740975890596.9155
image.8572_with_target,True,1421,1421,-1740975890596.792
image.8876_with_target,True,1223,1223,-1740975890596.5571
image.8599_with_target,True,643,643,-1740975890596.8591
image.4280_with_target,True,20,20,-1740975890596.8215
image.9972_with_target,True,51,51,-1740975890596.793
image.4259_with_target,True,549,549,-1740975890596.877
image.1278_with_target,True,1395,1395,-1740975890596.827
image.4929_with_target,True,537,537,-1740975890596.877
image.9258_with_target,True,18,18,-1740975890596.9285
image.7180_with_target,True,270,270,-1740975890596.4763
image.4896_with_target,True,1376,1376,-1740975890596.8767
image.3030_with_target,True,1420,1420,-1740975890596.7415
image.5152_with_target,True,1392,1392,-1740975890596.7517
image.2782_with_target,True,5,5,-1740975890596.6963
image.4505_with_target,True,1438,1438,-1740975890596.6746
image.7026_with_target,True,5,5,-1740975890596.737
image.2966_with_target,True,5,5,-1740975890596.5266
image.0796_with_target,True,83,83,-1740975890596.6362
image.6757_with_target,True,5,5,-1740975890596.813
image.8383_with_target,True,5,5,-1740975890596.779
image.3799_with_target,True,24,24,-1740975890596.8853
image.7248_with_target,True,29,29,-1740975890596.8127
image.6937_with_target,True,307,307,-1740975890596.8816
image.2607_with_target,True,576,576,-1740975890596.8848
image.6131_with_target,True,1431,1431,-1740975890596.9485
image.8006_with_target,True,5,5,-1740975890596.6338
image.5538_with_target,True,5,5,-1740975890596.775
image.1066_with_target,True,5,5,-1740975890596.8176
image.0615_with_target,True,83,83,-1740975890596.827
image.3832_with_target,True,5,5,-1740975890596.7227
image.9170_with_target,True,144,144,-1740975890596.77
image.8894_with_target,True,106,106,-1740975890596.77
image.7223_with_target,True,5,5,-1740975890596.8784
image.7737_with_target,True,1488,1488,-1740975890596.8716
image.8672_with_target,True,1428,1428,-1740975890596.8337
image.1925_with_target,True,144,144,-1740975890596.804
image.0858_with_target,True,468,468,-1740975890596.6353
image.8902_with_target,True,563,563,-1740975890596.717
image.0711_with_target,True,100,100,-1740975890596.8965
image.4412_with_target,True,5,5,-1740975890596.8047
image.3279_with_target,True,61,61,-1740975890596.877
image.9027_with_target,True,8,8,-1740975890596.567
image.3543_with_target,True,13,13,-1740975890596.7668
image.1045_with_target,True,97,97,-1740975890596.8047
image.7703_with_target,True,475,475,-1740975890596.8335
image.0873_with_target,True,1428,1428,-1740975890596.8438
image.7848_with_target,True,1389,1389,-1740975890596.8853
image.5777_with_target,True,180,180,-1740975890596.8723
image.7489_with_target,True,451,451,-1740975890596.911
image.0394_with_target,True,30,30,-1740975890596.825
image.0404_with_target,True,5,5,-1740975890596.8696
image.8435_with_target,True,431,431,-1740975890596.8987
image.6237_with_target,True,278,278,-1740975890596.6497
image.9755_with_target,True,54,54,-1740975890596.5542
image.3913_with_target,True,5,5,-1740975890596.915
image.5957_with_target,True,429,429,-1740975890596.8804
image.2886_with_target,True,1390,1390,-1740975890596.8743
image.1891_with_target,True,394,394,-1740975890596.687
image.3750_with_target,True,1427,1427,-1740975890596.8115
image.9776_with_target,True,675,675,-1740975890596.92
image.5724_with_target,True,5,5,-1740975890596.8867
image.2579_with_target,True,5,5,-1740975890596.8633
image.4013_with_target,True,407,407,-1740975890596.5212
image.2444_with_target,True,1286,1286,-1740975890596.713
image.5759_with_target,False,23723,23723,-1740975890594.8547
image.4238_with_target,False,23543,23543,-1740975890594.864
image.0536_with_target,False,23812,23812,-1740975890594.994
image.4387_with_target,False,23536,23536,-1740975890595.0469
image.4671_with_target,False,23678,23678,-1740975890595.2139
image.8740_with_target,False,23843,23843,-1740975890595.255
image.1716_with_target,False,21230,21091,-1740975890595.1567
image.3212_with_target,False,33151,33151,-1740975890595.1797
image.2633_with_target,False,26016,26016,-1740975890595.2769
image.5874_with_target,False,23009,23009,-1740975890594.9019
image.6613_with_target,False,22871,22871,-1740975890595.306
image.6899_with_target,False,22952,22952,-1740975890594.3665
image.5308_with_target,False,24020,24020,-1740975890595.2625
image.3598_with_target,False,23738,23738,-1740975890595.2886
image.0844_with_target,False,22921,22921,-1740975890594.6216
image.4862_with_target,False,22806,22806,-1740975890595.3633
image.5697_with_target,False,23696,23696,-1740975890595.4094
image.4182_with_target,False,23671,23671,-1740975890594.8804
image.1617_with_target,False,23816,23816,-1740975890595.3088
image.9670_with_target,False,22882,22882,-1740975890595.3003
image.0719_with_target,False,23805,23805,-1740975890595.9797
image.3649_with_target,False,20948,20948,-1740975890595.7405
image.5485_with_target,False,23120,23120,-1740975890596.1123
image.9126_with_target,False,21381,21381,-1740975890596.0947
image.2223_with_target,False,23908,23908,-1740975890595.6748
image.5213_with_target,False,20779,20779,-1740975890596.1458
image.1158_with_target,False,22834,22834,-1740975890594.8484
image.5804_with_target,False,22808,22808,-1740975890596.105
image.0263_with_target,False,23838,23838,-1740975890596.174
image.2789_with_target,False,22924,22924,-1740975890595.7036
image.9098_with_target,False,21507,21507,-1740975890595.9514
image.3444_with_target,False,23978,23978,-1740975890592.9524
image.0825_with_target,False,23631,23631,-1740975890595.7942
image.9554_with_target,False,23629,23629,-1740975890594.6338
image.9495_with_target,False,21193,21193,-1740975890595.8796
image.8362_with_target,False,22815,22815,-1740975890595.008
image.0840_with_target,False,25900,25900,-1740975890595.9133
image.3035_with_target,False,23666,23666,-1740975890594.2854
image.5214_with_target,False,20740,20740,-1740975890596.2258
image.4001_with_target,False,23630,23630,-1740975890596.0166
